bal_150_t-1,bal_250_t-1,bal_350_t-1,bal_energy_band_low_t-1,bal_energy_band_medium_t-1,bal_energy_band_high_t-1,6004_FTF_t-1,6004_BSF_t-1,6004_BPFO_t-1,6004_BPFI_t-1,bal_150_t,bal_250_t,bal_350_t,bal_energy_band_low_t,bal_energy_band_medium_t,bal_energy_band_high_t,6004_FTF_t,6004_BSF_t,6004_BPFO_t,6004_BPFI_t
-9.2544106881,-7.8084790506,-9.4954466388,-797.7998640365,-2879.3096620032,-7125.6075263103,-50.1940629041,-37.4349638517,-33.5967773063,-43.1194606042,-9.8288191626,-7.7501659941,-9.0420533146,-885.2561612109,-3084.1755974801,-7344.3343401686,-46.5557372423,-44.7588494345,-42.3071772345,-41.7159183723
-9.371279848,-7.7828446424,-9.3864569627,-828.3886215956,-2874.6376041006,-7179.3938862076,-55.4449338212,-39.9007971418,-37.1688274819,-40.4428009658,-9.5952091629,-7.9290222238,-9.3975759683,-906.2932493007,-3071.7722342606,-7326.0603783536,-49.6516317179,-42.0293067687,-40.7379081666,-41.0315227919
-9.2003125955,-7.6720447989,-9.5016318405,-803.2854185861,-2855.8132478594,-7155.3546568012,-46.2092006467,-37.0131905694,-37.7040211712,-39.4829723608,-10.0172477145,-8.0240976098,-9.4130587399,-904.072039215,-3076.8486715414,-7327.4994615266,-53.3055061998,-41.8513270991,-40.6820463287,-42.0153421239
-9.6297023568,-7.7534617501,-9.47891882,-800.4339106368,-2864.1878714508,-7155.7665372244,-49.7942964941,-37.842090393,-36.5452207029,-39.4514639778,-9.6314415717,-7.9360169651,-9.4349393339,-907.6561253454,-3067.4209475425,-7331.8162554908,-52.0226137535,-42.7576251348,-41.0549847797,-42.1175897562
-9.4855631508,-7.6884130538,-9.3588203827,-799.5664677935,-2866.3613858966,-7136.4190239961,-53.8730426487,-37.4962132426,-35.2741667628,-39.6614442566,-10.0671079285,-7.9912311792,-9.3423988243,-898.8648290798,-3065.9576212246,-7368.7265266831,-48.2429840938,-43.0740538508,-41.328669475,-40.5727240565
-9.9428382103,-7.6361110727,-9.4977406082,-804.8283424661,-2870.7078631416,-7140.7385751882,-50.3207871145,-38.4851590229,-34.03306361,-38.4323435272,-9.9078286969,-7.823707773,-9.1453829156,-907.3704596008,-3062.2963758045,-7386.9184334856,-50.122977861,-43.6814868214,-40.9715216252,-41.3958560793
-9.5480945897,-7.6745439211,-9.4135122372,-797.9026967478,-2867.5609942729,-7109.1336127286,-50.6782277196,-36.9773268044,-35.1543192736,-38.77197453,-10.0788384627,-7.975632347,-9.504600147,-903.3692154711,-3090.1341605032,-7343.6018076302,-48.977904683,-42.7077911033,-39.4536992389,-40.9521052512
-9.2898702816,-7.8489742142,-9.4653959834,-807.7844951018,-2895.1715317567,-7182.7280897775,-47.0679150225,-40.2318397457,-37.7842219068,-39.9003555091,-9.9755759106,-7.8004043756,-9.0781775606,-899.0731015814,-3067.9003851491,-7359.3413984026,-47.6720989085,-43.4624560932,-44.4413652561,-41.4305283452
-9.9494622719,-7.7036819007,-9.4803461097,-805.5267347265,-2862.4229519963,-7147.2030514247,-56.4385111399,-38.5497835833,-35.5419048893,-39.6454984276,-9.6712054996,-7.9035381495,-9.5250057163,-911.1463396329,-3084.7276878161,-7340.9543119925,-49.3153655627,-44.8884490149,-40.9318188632,-40.7919043755
-9.9399633517,-7.7348715401,-9.4776299652,-802.2237597885,-2856.0851862433,-7142.9946821429,-48.1540067541,-37.5262715658,-38.9805417755,-39.9701145829,-9.6129989884,-7.9336265444,-9.0935953455,-902.7950902278,-3092.289869114,-7376.1460407679,-51.043461693,-42.6846921601,-43.5471266904,-40.8315367448
